CRID,OfficerID,Allegation,Finding,Outcome,Beat,IncidentDate,StartDate,EndDate,InvestigatorRank,officer_gender,officer_race,officer_appt_date,officer_rank_order,officer_age,witness_gender,witness_race,geo_id,physical_violence,injury,weapon,on_duty,officer_white,witness_white,officer_male,witness_male,officer_cmp_count,incident_year
1073395,32198,"U Converted To C.R. (Records Keeping Only, Initial)",Sustained,Reprimand,712.0,2015-01-16,2015-01-16,2015-12-09,,M,Black,1991-06-19 00:00:00,1.0,59.0,F,Black,1400000US17031834700,0,0,0,0,0,0,1,0,0,2015
1073379,29258,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,1225.0,2015-01-16,2015-01-16,2015-03-25,,M,Black,2007-04-30 00:00:00,1.0,42.0,M,Black,1400000US17031838100,0,1,0,1,0,0,1,1,0,2015
1073435,18648,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,2532.0,2015-01-17,2015-01-20,2015-07-07,,M,White,2012-11-30 00:00:00,1.0,36.0,F,Black,1400000US17031250700,0,0,0,1,1,0,1,0,0,2015
1073410,29795,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1731.0,2015-01-18,2015-01-18,,,F,White,1999-10-25 00:00:00,2.0,46.0,F,Hispanic,1400000US17031161000,0,0,1,1,1,0,0,0,0,2015
1073410,24628,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1731.0,2015-01-18,2015-01-18,,,M,White,2012-10-05 00:00:00,1.0,37.0,F,Hispanic,1400000US17031161000,0,0,1,1,1,0,1,0,0,2015
1073410,8400,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1731.0,2015-01-18,2015-01-18,,,F,White,2012-10-05 00:00:00,1.0,35.0,F,Hispanic,1400000US17031161000,0,0,1,1,1,0,0,0,0,2015
1073410,430,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1731.0,2015-01-18,2015-01-18,,,M,Hispanic,2012-10-05 00:00:00,1.0,42.0,F,Hispanic,1400000US17031161000,0,0,1,1,0,0,1,0,0,2015
1073410,6666,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1731.0,2015-01-18,2015-01-18,,,M,Hispanic,2012-10-05 00:00:00,1.0,38.0,F,Hispanic,1400000US17031161000,0,0,1,1,0,0,1,0,0,2015
1073492,4674,Excessive Force / On Duty - Injury,Unknown,Unknown,632.0,2015-01-21,2015-01-23,2017-03-28,,M,White,2006-07-31 00:00:00,1.0,41.0,F,Black,1400000US17031440102,0,1,0,1,1,0,1,0,0,2015
1073492,16810,Excessive Force / On Duty - Injury,Unknown,Unknown,632.0,2015-01-21,2015-01-23,2017-03-28,,M,White,2006-07-31 00:00:00,1.0,39.0,F,Black,1400000US17031440102,0,1,0,1,1,0,1,0,0,2015
1079949,29627,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,624.0,2015-01-23,2016-04-04,2016-09-08,,M,White,2012-10-05 00:00:00,1.0,41.0,M,,,0,0,1,0,1,0,1,1,0,2015
1073490,8417,Excessive Force - Use Of Firearm / On Duty - No Injury,Unfounded,No Action Taken,3100.0,2015-01-23,2015-01-23,2015-04-15,,M,White,1999-03-08 00:00:00,3.0,49.0,F,White,,0,0,1,1,1,1,1,0,0,2015
1073511,11094,Excessive Force / On Duty - Injury,Unfounded,Unknown,725.0,2015-01-24,2015-01-24,2017-05-31,,M,Hispanic,2012-07-02 00:00:00,1.0,38.0,F,Black,1400000US17031671500,0,1,0,1,0,0,1,0,0,2015
1073511,3982,Excessive Force / On Duty - Injury,Not Sustained,Unknown,725.0,2015-01-24,2015-01-24,2017-05-31,,M,Hispanic,2009-12-16 00:00:00,1.0,43.0,F,Black,1400000US17031671500,0,1,0,1,0,0,1,0,0,2015
1073574,30197,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,1524.0,2015-01-28,2015-01-28,2015-11-03,,M,White,2006-07-31 00:00:00,1.0,42.0,F,Black,1400000US17031251200,0,1,0,1,1,0,1,0,0,2015
1073738,23462,Excessive Force / On Duty - Injury,Not Sustained,No Action Taken,621.0,2015-01-30,2015-02-10,2015-06-18,,M,Hispanic,2013-04-01 00:00:00,1.0,37.0,F,Black,,0,1,0,1,0,0,1,0,0,2015
1085529,24186,Civil Suits - Third Party,No Affidavit,Unknown,611.0,2015-01-30,2017-06-09,2018-06-27,,M,White,2010-09-01 00:00:00,1.0,38.0,M,,1400000US17031710400,0,0,0,0,1,0,1,1,1,2015
1073601,17752,Miscellaneous,Sustained,5 Day Suspension,715.0,2015-01-30,2015-01-30,2017-10-04,,M,Black,2009-12-16 00:00:00,1.0,46.0,M,Hispanic,1400000US17031670400,0,0,0,0,0,0,1,1,0,2015
1085529,18571,Civil Suits - Third Party,No Affidavit,Unknown,611.0,2015-01-30,2017-06-09,2018-06-27,,M,White,2010-09-01 00:00:00,1.0,39.0,M,,1400000US17031710400,0,0,0,0,1,0,1,1,1,2015
1075019,4524,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,3100.0,2015-02-04,2015-05-05,2015-07-20,,F,Black,1992-01-02 00:00:00,1.0,59.0,M,,,0,0,1,0,0,0,0,1,0,2015
1075019,27722,Unnecessary Display Of Weapon / Off Duty,No Affidavit,No Action Taken,3100.0,2015-02-04,2015-05-05,2015-07-20,,M,White,1990-03-26 00:00:00,1.0,60.0,M,,,0,0,1,0,1,0,1,1,0,2015
1073682,21712,Excessive Force - Use Of Firearm / Off Duty - No Injury,Sustained,Violation Noted,823.0,2015-02-06,2015-02-06,2015-05-19,,M,White,1982-07-19 00:00:00,2.0,61.0,M,White,1400000US17031660400,0,0,1,0,1,1,1,1,0,2015
1073949,19005,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,633.0,2015-02-06,2015-02-26,2015-05-19,,M,White,2009-03-09 00:00:00,1.0,38.0,M,Black,1400000US17031440900,0,1,0,1,1,0,1,1,0,2015
1073949,8300,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,633.0,2015-02-06,2015-02-26,2015-05-19,,M,White,2009-12-16 00:00:00,1.0,38.0,M,Black,1400000US17031440900,0,1,0,1,1,0,1,1,0,2015
1073949,25203,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,633.0,2015-02-06,2015-02-26,2015-05-19,,M,Hispanic,2009-12-16 00:00:00,1.0,42.0,M,Black,1400000US17031440900,0,1,0,1,0,0,1,1,0,2015
1073949,12057,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,633.0,2015-02-06,2015-02-26,2015-05-19,,M,Hispanic,2010-09-01 00:00:00,1.0,39.0,M,Black,1400000US17031440900,0,1,0,1,0,0,1,1,0,2015
1073685,7216,Excessive Force / On Duty - No Injury,Unknown,Unknown,933.0,2015-02-06,2015-02-09,2015-03-25,,M,White,2002-03-25 00:00:00,1.0,45.0,F,Black,1400000US17031611000,0,0,0,1,1,0,1,0,0,2015
1073685,262,Excessive Force / On Duty - No Injury,Unknown,Unknown,933.0,2015-02-06,2015-02-09,2015-03-25,,M,Hispanic,2003-02-24 00:00:00,1.0,45.0,F,Black,1400000US17031611000,0,0,0,1,0,0,1,0,0,2015
1073693,9316,Firearm Discharge With Hits - Handgun,Sustained,Suspended for 365 Days,522.0,2015-02-07,2015-02-07,2016-07-18,,M,Hispanic,1999-09-13 00:00:00,1.0,53.0,M,White,1400000US17031491300,0,0,1,0,0,1,1,1,0,2015
1073693,17721,Firearm Discharge With Hits - Handgun,Sustained,Suspended for 365 Days,522.0,2015-02-07,2015-02-07,2016-07-18,,M,White,1995-06-05 00:00:00,1.0,51.0,M,White,1400000US17031491300,0,0,1,0,1,1,1,1,0,2015
1073728,4687,Unnecessary Physical Contact / Off Duty - No Injury,No Affidavit,No Action Taken,523.0,2015-02-09,2015-02-09,2015-05-19,,F,White,2012-12-14 00:00:00,1.0,36.0,M,Black,1400000US17031530502,1,0,0,0,1,0,0,1,0,2015
1073754,17888,Excessive Force / On Duty - Injury,Unfounded,No Action Taken,722.0,2015-02-10,2015-02-11,2016-02-11,,M,Black,1995-12-04 00:00:00,1.0,49.0,F,Black,1400000US17031690300,0,1,0,1,0,0,1,0,0,2015
1073767,25455,Excessive Force / On Duty - Injury,Unfounded,No Action Taken,2535.0,2015-02-11,2015-02-12,2015-06-11,,F,Asian/Pacific,2012-12-14 00:00:00,1.0,40.0,M,Black,1400000US17031230700,0,1,0,1,0,0,0,1,0,2015
1073774,1788,Excessive Force / On Duty - No Injury,No Affidavit,No Action Taken,632.0,2015-02-12,2015-02-12,2015-05-19,,M,Black,2008-04-28 00:00:00,1.0,49.0,M,Black,1400000US17031440800,0,0,0,1,0,0,1,1,0,2015
1073789,4167,Miscellaneous,Sustained,20 Day Suspension,1822.0,2015-02-14,2015-02-14,2018-04-17,,M,White,1998-12-14 00:00:00,1.0,46.0,M,White,1400000US17031842200,0,0,0,0,1,1,1,1,0,2015
1073789,9309,Miscellaneous,Sustained,5 Day Suspension,1822.0,2015-02-14,2015-02-14,2018-04-17,,M,White,1992-06-29 00:00:00,2.0,54.0,M,White,1400000US17031842200,0,0,0,0,1,1,1,1,0,2015
1073789,31576,Miscellaneous,Not Sustained,Unknown,1822.0,2015-02-14,2015-02-14,2018-04-17,,M,White,2007-04-30 00:00:00,1.0,44.0,M,White,1400000US17031842200,0,0,0,0,1,1,1,1,0,2015
1073789,2798,Miscellaneous,Not Sustained,Unknown,1822.0,2015-02-14,2015-02-14,2018-04-17,,M,White,2007-04-30 00:00:00,1.0,37.0,M,White,1400000US17031842200,0,0,0,0,1,1,1,1,0,2015
1073794,16477,Excessive Force / On Duty - No Injury,Not Sustained,No Action Taken,533.0,2015-02-14,2015-02-15,2015-06-18,,M,Black,1987-12-07 00:00:00,1.0,61.0,M,Black,1400000US17031540101,0,0,0,1,0,0,1,1,0,2015
1073794,9460,Excessive Force / On Duty - No Injury,Not Sustained,No Action Taken,533.0,2015-02-14,2015-02-15,2015-06-18,,F,Hispanic,1987-04-13 00:00:00,1.0,57.0,M,Black,1400000US17031540101,0,0,0,1,0,0,0,1,0,2015
1073804,23114,Excessive Force / On Duty - No Injury,No Affidavit,No Action Taken,914.0,2015-02-16,2015-02-16,2015-05-29,,M,Hispanic,1994-07-05 00:00:00,1.0,54.0,M,Black,1400000US17031841100,0,0,0,1,0,0,1,1,0,2015
1073821,6211,Excessive Force / Off Duty - Injury,No Affidavit,No Action Taken,1212.0,2015-02-17,2015-02-17,2015-05-29,,M,Black,1999-10-04 00:00:00,1.0,56.0,F,Hispanic,1400000US17031242400,0,1,0,0,0,0,1,0,0,2015
1073831,10387,Excessive Force - Use Of Firearm / Off Duty - No Injury,Sustained,Violation Noted,3100.0,2015-02-18,2015-02-18,2016-01-26,,M,White,2004-10-25 00:00:00,1.0,40.0,F,Black,,0,0,1,0,1,0,1,0,0,2015
1074846,8556,Injury,Not Sustained,15 Day Suspension,1632.0,2015-02-20,2015-04-24,2017-03-01,,M,White,1991-11-18 00:00:00,1.0,51.0,M,Black,1400000US17031170100,0,1,0,0,1,0,1,1,0,2015
1073866,25295,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1533.0,2015-02-21,2015-02-21,2017-11-20,,M,Hispanic,1998-12-14 00:00:00,1.0,52.0,F,Black,1400000US17031252102,0,0,1,1,0,0,1,0,0,2015
1073866,21149,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1533.0,2015-02-21,2015-02-21,2017-11-20,,M,Hispanic,2000-10-10 00:00:00,1.0,48.0,F,Black,1400000US17031252102,0,0,1,1,0,0,1,0,0,2015
1073866,27935,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1533.0,2015-02-21,2015-02-21,2017-11-20,,M,White,1992-01-02 00:00:00,2.0,53.0,F,Black,1400000US17031252102,0,0,1,1,1,0,1,0,0,2015
1073866,14061,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1533.0,2015-02-21,2015-02-21,2017-11-20,,M,White,2001-02-05 00:00:00,2.0,49.0,F,Black,1400000US17031252102,0,0,1,1,1,0,1,0,0,2015
1073866,23412,Unnecessary Display Of Weapon / On Duty,Unknown,Unknown,1533.0,2015-02-21,2015-02-21,2017-11-20,,M,Hispanic,2001-05-29 00:00:00,2.0,45.0,F,Black,1400000US17031252102,0,0,1,1,0,0,1,0,0,2015
1073875,18711,Excessive Force / On Duty - No Injury,Not Sustained,No Action Taken,434.0,2015-02-22,2015-02-22,2016-02-11,,F,Hispanic,2007-07-09 00:00:00,1.0,41.0,F,Black,1400000US17031838800,0,0,0,1,0,0,0,0,0,2015
1073901,12590,Excessive Force - Use Of Firearm / Off Duty - No Injury,Unfounded,No Action Taken,621.0,2015-02-24,2015-02-24,2015-06-18,,M,Black,1998-07-27 00:00:00,1.0,59.0,M,White,1400000US17031710800,0,0,1,0,0,1,1,1,0,2015
1073905,25384,Unnecessary Physical Contact / Off Duty - No Injury,No Affidavit,No Action Taken,235.0,2015-02-24,2015-02-24,2015-05-19,,M,Black,2008-05-19 00:00:00,1.0,42.0,M,Black,1400000US17031836200,1,0,0,0,0,0,1,1,0,2015
1074029,17508,Excessive Force / On Duty - Injury,Unfounded,Unknown,831.0,2015-02-25,2015-03-04,2016-11-21,,M,White,1991-01-02 00:00:00,2.0,54.0,F,,1400000US17031660500,0,1,0,1,1,0,1,0,0,2015
1074192,9324,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,331.0,2015-02-27,2015-03-13,2015-06-22,,M,White,2002-12-02 00:00:00,1.0,42.0,F,Black,1400000US17031430101,0,1,0,1,1,0,1,0,0,2015
1074192,17254,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,331.0,2015-02-27,2015-03-13,2015-06-22,,M,White,2000-08-14 00:00:00,1.0,50.0,F,Black,1400000US17031430101,0,1,0,1,1,0,1,0,0,2015
1074192,23531,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,331.0,2015-02-27,2015-03-13,2015-06-22,,M,White,1994-05-02 00:00:00,2.0,51.0,F,Black,1400000US17031430101,0,1,0,1,1,0,1,0,0,2015
1074002,4075,Closed Hand Strike (Punch),Not Sustained,Unknown,612.0,2015-02-28,2015-03-02,2017-06-19,,M,Black,1996-11-04 00:00:00,1.0,59.0,M,Black,1400000US17031710700,1,0,0,0,0,0,1,1,0,2015
1074019,9309,Excessive Force / On Duty - No Injury,No Affidavit,No Action Taken,1822.0,2015-03-01,2015-03-03,2015-11-04,,M,White,1992-06-29 00:00:00,2.0,54.0,F,Black,1400000US17031842200,0,0,0,1,1,0,1,0,1,2015
1074595,28122,Excessive Force / On Duty - No Injury,Unknown,Unknown,421.0,2015-03-03,2015-04-08,2017-03-24,,M,White,2012-08-31 00:00:00,1.0,40.0,M,Black,1400000US17031431302,0,0,0,1,1,0,1,1,0,2015
1074595,15957,Excessive Force / On Duty - No Injury,Unknown,Unknown,421.0,2015-03-03,2015-04-08,2017-03-24,,M,Black,1999-11-15 00:00:00,2.0,51.0,M,Black,1400000US17031431302,0,0,0,1,0,0,1,1,0,2015
1074595,15941,Excessive Force / On Duty - No Injury,Unknown,Unknown,421.0,2015-03-03,2015-04-08,2017-03-24,,M,Asian/Pacific,2012-10-31 00:00:00,1.0,37.0,M,Black,1400000US17031431302,0,0,0,1,0,0,1,1,0,2015
1074365,18585,Unnecessary Physical Contact / Off Duty - No Injury,No Affidavit,No Action Taken,621.0,2015-03-05,2015-03-25,2015-09-14,,M,White,2002-09-30 00:00:00,1.0,49.0,M,Black,,1,0,0,0,1,0,1,1,0,2015
1074043,24612,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,2523.0,2015-03-05,2015-03-05,2015-07-20,,M,White,1993-11-22 00:00:00,2.0,51.0,F,Hispanic,,0,0,0,1,1,0,1,0,0,2015
1074043,31423,Excessive Force / On Duty - No Injury,Unfounded,No Action Taken,2523.0,2015-03-05,2015-03-05,2015-07-20,,M,White,1995-09-05 00:00:00,2.0,49.0,F,Hispanic,,0,0,0,1,1,0,1,0,0,2015
1074066,15006,Unnecessary Display Of Weapon / On Duty,No Affidavit,No Action Taken,1031.0,2015-03-06,2015-03-06,2015-05-19,,M,White,2009-03-09 00:00:00,1.0,36.0,F,,1400000US17031210501,0,0,1,1,1,0,1,0,0,2015
1074895,11373,Excessive Force / On Duty - No Injury,Exonerated,Unknown,1021.0,2015-03-07,2015-04-28,2017-03-29,,M,Hispanic,2006-01-23 00:00:00,1.0,44.0,F,Black,1400000US17031291200,0,0,0,1,0,0,1,0,0,2015
1074080,23950,Excessive Force / On Duty - No Injury,No Affidavit,No Action Taken,1523.0,2015-03-08,2015-03-08,2015-09-03,,M,White,2008-04-28 00:00:00,2.0,40.0,M,Black,1400000US17031251900,0,0,0,1,1,0,1,1,0,2015
1086264,22788,Civil Suits - Third Party,Unknown,Unknown,2232.0,2015-03-08,2017-08-11,,,M,Hispanic,1991-11-18 00:00:00,1.0,54.0,M,Black,1400000US17031730600,0,0,0,0,0,0,1,1,0,2015
1086264,19411,Civil Suits - Third Party,Unknown,Unknown,2232.0,2015-03-08,2017-08-11,,,M,Hispanic,2007-06-04 00:00:00,2.0,38.0,M,Black,1400000US17031730600,0,0,0,0,0,0,1,1,0,2015
1086264,4030,Civil Suits - Third Party,Unknown,Unknown,2232.0,2015-03-08,2017-08-11,,,M,White,2008-04-28 00:00:00,2.0,39.0,M,Black,1400000US17031730600,0,0,0,0,1,0,1,1,0,2015
1086264,27619,Civil Suits - Third Party,Unknown,Unknown,2232.0,2015-03-08,2017-08-11,,,M,White,1997-07-07 00:00:00,1.0,54.0,M,Black,1400000US17031730600,0,0,0,0,1,0,1,1,0,2015
1084734,23139,Excessive Force / On Duty - Injury,Not Sustained,Unknown,431.0,2015-03-09,2017-04-06,2018-01-31,,M,Asian/Pacific,1999-12-13 00:00:00,1.0,45.0,M,Black,1400000US17031510300,0,1,0,1,0,0,1,1,0,2015
1084734,27472,Excessive Force / On Duty - Injury,Unfounded,Unknown,431.0,2015-03-09,2017-04-06,2018-01-31,,M,Black,2001-10-29 00:00:00,1.0,50.0,M,Black,1400000US17031510300,0,1,0,1,0,0,1,1,0,2015
1084734,5189,Excessive Force / On Duty - Injury,Unfounded,Unknown,431.0,2015-03-09,2017-04-06,2018-01-31,,M,White,1998-10-13 00:00:00,2.0,49.0,M,Black,1400000US17031510300,0,1,0,1,1,0,1,1,0,2015
1074142,1097,Excessive Force / On Duty - Injury,Unknown,Unknown,1134.0,2015-03-09,2015-03-11,2015-04-23,,M,White,1985-05-06 00:00:00,3.0,64.0,F,Black,1400000US17031837300,0,1,0,1,1,0,1,0,0,2015
1074142,12622,Excessive Force / On Duty - Injury,Unknown,Unknown,1134.0,2015-03-09,2015-03-11,2015-04-23,,F,Black,2004-09-27 00:00:00,1.0,44.0,F,Black,1400000US17031837300,0,1,0,1,0,0,0,0,0,2015
1084734,17278,Excessive Force / On Duty - Injury,Not Sustained,Unknown,431.0,2015-03-09,2017-04-06,2018-01-31,,M,White,2000-12-18 00:00:00,2.0,43.0,M,Black,1400000US17031510300,0,1,0,1,1,0,1,1,0,2015
1084734,6741,Excessive Force / On Duty - Injury,Unfounded,Unknown,431.0,2015-03-09,2017-04-06,2018-01-31,,M,Black,2008-04-28 00:00:00,1.0,43.0,M,Black,1400000US17031510300,0,1,0,1,0,0,1,1,0,2015
1074196,3017,Excessive Force - Use Of Firearm / Off Duty - No Injury,Unfounded,No Action Taken,734.0,2015-03-09,2015-03-13,2016-04-08,,M,White,2001-12-17 00:00:00,2.0,42.0,F,Black,1400000US17031671900,0,0,1,0,1,0,1,0,0,2015
1074196,9986,Excessive Force - Use Of Firearm / Off Duty - No Injury,Unfounded,No Action Taken,734.0,2015-03-09,2015-03-13,2016-04-08,,M,White,2007-07-09 00:00:00,1.0,37.0,F,Black,1400000US17031671900,0,0,1,0,1,0,1,0,0,2015
1074134,10203,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,1613.0,2015-03-10,2015-03-11,2015-05-19,,M,White,1994-07-05 00:00:00,1.0,54.0,F,Hispanic,1400000US17031100600,0,1,0,1,1,0,1,0,0,2015
1074134,14293,Excessive Force / On Duty - Injury,No Affidavit,No Action Taken,1613.0,2015-03-10,2015-03-11,2015-05-19,,M,White,2005-08-29 00:00:00,2.0,49.0,F,Hispanic,1400000US17031100600,0,1,0,1,1,0,1,0,0,2015
1074141,4659,Miscellaneous,Sustained,Unknown,1513.0,2015-03-10,2015-03-11,,,M,Hispanic,2007-07-09 00:00:00,1.0,42.0,F,Black,1400000US17031252101,0,0,0,0,0,0,1,0,0,2015
1076248,26363,Excessive Force / On Duty - Injury,Unfounded,Unknown,835.0,2015-03-11,2015-07-21,2017-04-10,,M,White,1992-12-07 00:00:00,1.0,63.0,M,,1400000US17031700100,0,1,0,1,1,0,1,1,0,2015
1074276,27019,Closed Hand Strike (Punch),Not Sustained,Unknown,1432.0,2015-03-11,2015-03-18,2017-05-19,,M,White,1998-11-30 00:00:00,2.0,49.0,F,Black,1400000US17031832300,1,0,0,0,1,0,1,0,0,2015
1074276,27669,Closed Hand Strike (Punch),Not Sustained,Unknown,1432.0,2015-03-11,2015-03-18,2017-05-19,,M,White,2010-09-01 00:00:00,1.0,39.0,F,Black,1400000US17031832300,1,0,0,0,1,0,1,0,0,2015
